,0
0,0.09128499031066895
1,0.06385207176208496
2,0.09800982475280762
3,0.040503740310668945
4,0.04780387878417969
5,0.06531190872192383
6,0.12690496444702148
7,0.04676103591918945
8,0.10739803314208984
9,0.06845211982727051
10,0.04622483253479004
11,0.06627488136291504
12,0.05181169509887695
13,0.04468679428100586
14,0.11627602577209473
15,0.03673982620239258
16,0.09089183807373047
17,0.04656100273132324
18,0.04109692573547363
19,0.1195230484008789
20,0.0966038703918457
21,0.037039995193481445
22,0.03907179832458496
23,0.04401516914367676
24,0.04204297065734863
25,0.04208707809448242
26,0.04791116714477539
27,1.470484972000122
28,3.1933720111846924
29,1.565598964691162
30,3.078850030899048
31,1.4401249885559082
32,3.197686195373535
33,1.4579598903656006
34,1.4404988288879395
35,1.4730448722839355
36,1.6727278232574463
37,1.9642832279205322
38,1.4657058715820312
39,7.9376060962677
40,3.2303881645202637
41,1.4575607776641846
42,1.4537591934204102
43,5.650175094604492
44,1.4494221210479736
45,1.4748849868774414
46,1.4876389503479004
47,1.555816888809204
48,1.5780181884765625
49,1.4546759128570557
50,1.563887119293213
51,1.4830200672149658
52,5.4916441440582275
53,1.4642860889434814
54,1.4898920059204102
55,3.152729034423828
56,1.4895470142364502
57,1.4767451286315918
58,1.5614819526672363
59,1.584812879562378
60,1.4807686805725098
61,1.476330280303955
62,1.479705810546875
63,1.487170696258545
64,1.4546701908111572
65,1.8911552429199219
66,1.4504988193511963
67,1.4945967197418213
68,1.5682718753814697
69,1.4757020473480225
70,2.6063926219940186
71,1.4844369888305664
72,3.256088972091675
73,1.4914610385894775
74,1.4812569618225098
75,1.4637861251831055
76,1.5866138935089111
77,3.0527007579803467
78,1.483569860458374
79,2.534727096557617
80,1.4851300716400146
81,4.625286102294922
82,1.5961170196533203
83,1.4798500537872314
84,1.4627230167388916
85,1.4859230518341064
86,1.4775760173797607
87,1.4583311080932617
88,1.4872779846191406
89,1.4763939380645752
90,1.5693418979644775
91,1.4728450775146484
92,1.4681999683380127
93,1.4815659523010254
94,1.469641923904419
95,1.473520040512085
96,1.4642901420593262
97,1.5908958911895752
98,1.4881868362426758
99,3.4941859245300293
100,3.2882161140441895
101,1.4856369495391846
102,1.4566211700439453
103,1.4584760665893555
104,3.559434175491333
105,1.5856659412384033
106,1.4895060062408447
107,1.4887349605560303
108,1.486630916595459
109,1.5913488864898682
110,1.7943191528320312
111,1.5769610404968262
112,1.5972888469696045
113,1.456186056137085
114,5.318696975708008
115,1.4837682247161865
116,1.906747817993164
117,1.5876491069793701
118,1.4646449089050293
119,3.3631269931793213
120,1.472902774810791
121,1.5692551136016846
122,1.4796311855316162
123,1.781116008758545
124,1.4942331314086914
125,1.5876350402832031
126,1.5757548809051514
127,1.4813241958618164
128,3.1541991233825684
129,1.4814610481262207
130,1.4669828414916992
131,1.6021461486816406
132,3.281111001968384
133,1.5646069049835205
134,1.4601976871490479
135,2.6437840461730957
136,3.284022092819214
137,1.4617903232574463
138,3.1668570041656494
139,1.9125020503997803
140,1.4669311046600342
141,3.360546112060547
142,1.461479902267456
143,2.2049221992492676
144,3.0648369789123535
145,1.5659840106964111
146,3.240506887435913
147,1.4801867008209229
148,1.4640812873840332
149,1.6631419658660889
150,1.5883798599243164
151,1.4513838291168213
152,3.249109983444214
153,1.6758809089660645
154,1.742311954498291
155,1.4576308727264404
156,1.4785559177398682
157,1.4697470664978027
158,1.4591648578643799
159,1.4682819843292236
160,5.048006296157837
161,1.4603829383850098
162,1.8008217811584473
163,3.150710105895996
164,1.4865779876708984
165,3.2608802318573
166,1.4594287872314453
167,1.4911401271820068
168,1.4738619327545166
169,1.4611010551452637
170,1.5766210556030273
171,3.3587050437927246
172,1.4820020198822021
173,1.4721217155456543
174,1.4587020874023438
175,1.5893590450286865
176,1.457874059677124
177,1.488830804824829
178,1.455383062362671
179,1.4585671424865723
180,1.5882771015167236
181,1.4537427425384521
182,1.4711549282073975
183,1.4616799354553223
184,3.473292827606201
185,1.4866511821746826
186,1.4683220386505127
187,1.6858980655670166
188,1.460561990737915
189,1.4556469917297363
190,1.459594964981079
191,3.1513381004333496
192,1.4737482070922852
193,3.2391867637634277
194,1.6765539646148682
195,4.73767614364624
196,1.4541921615600586
197,1.4552021026611328
198,1.558321237564087
199,1.4601600170135498
200,1.4776558876037598
201,1.4737510681152344
202,1.4634921550750732
203,1.5512831211090088
204,1.4515612125396729
205,1.4529290199279785
206,1.4610769748687744
207,1.4829881191253662
208,1.5694971084594727
209,1.4789319038391113
210,2.080564022064209
211,1.4581379890441895
212,1.4552257061004639
213,1.4565589427947998
214,1.682732105255127
215,1.5788207054138184
216,1.4734559059143066
217,1.7973949909210205
218,1.4977819919586182
219,1.4810161590576172
220,1.6767551898956299
221,1.476388931274414
222,1.4634959697723389
223,1.4567360877990723
224,1.581833839416504
225,2.9453842639923096
226,1.565659761428833
227,5.13657808303833
228,1.4739630222320557
229,1.4697957038879395
230,3.7748231887817383
231,3.2561819553375244
232,3.362761974334717
233,1.4516558647155762
234,1.4746627807617188
235,3.251706123352051
236,1.4809811115264893
237,1.4608759880065918
238,1.4822149276733398
239,1.9966819286346436
240,1.5582640171051025
241,1.4654419422149658
242,1.4556801319122314
243,1.4502191543579102
244,1.5721678733825684
245,3.132145881652832
246,1.4545068740844727
247,1.4667949676513672
248,1.4658050537109375
249,4.154577016830444
250,1.4595026969909668
251,3.2665598392486572
252,1.562284231185913
253,1.4711291790008545
254,1.4500389099121094
255,1.4617862701416016
256,1.4800848960876465
257,1.4682049751281738
258,1.5766122341156006
259,1.4802730083465576
260,1.4605298042297363
261,1.4504141807556152
262,1.4768579006195068
263,1.5738937854766846
264,3.0571751594543457
265,1.4599778652191162
266,1.5613408088684082
267,1.663294792175293
268,1.443857192993164
269,1.461219072341919
270,1.566908836364746
271,2.09614634513855
272,1.5845658779144287
273,1.4711518287658691
274,1.459467887878418
275,3.236888885498047
276,1.47184157371521
277,3.254096031188965
278,1.4471468925476074
279,1.4452967643737793
280,1.4717481136322021
281,1.4594910144805908
282,7.1278510093688965
283,3.6497161388397217
284,1.6520030498504639
285,1.47298002243042
286,4.266917705535889
287,1.455000877380371
288,1.5743980407714844
289,4.482262134552002
290,1.496608018875122
291,2.377450942993164
292,1.475250244140625
293,1.8759167194366455
294,1.8686518669128418
295,1.8619871139526367
296,1.4976489543914795
297,1.4940497875213623
298,1.4536170959472656
299,1.5591180324554443
300,1.4805350303649902
301,1.5753209590911865
302,1.788465976715088
303,1.447957992553711
304,3.252478837966919
305,3.446197986602783
306,3.458878993988037
307,2.821275234222412
308,1.4703869819641113
309,1.4669270515441895
310,1.55802583694458
311,1.4527783393859863
312,1.7674219608306885
313,1.581878900527954
314,1.4735639095306396
315,1.9778621196746826
316,1.4553370475769043
317,1.4601948261260986
318,3.8397932052612305
319,5.456529140472412
320,1.4660542011260986
321,1.445430040359497
322,3.2274041175842285
323,1.8695290088653564
324,1.4596998691558838
325,1.6675419807434082
326,1.4793322086334229
327,1.445361852645874
328,1.775994062423706
329,1.446516990661621
330,1.5574562549591064
331,3.32888126373291
332,1.5748450756072998
333,1.4677672386169434
334,3.1178781986236572
335,1.459747076034546
336,3.3407812118530273
337,1.4695072174072266
338,1.4378931522369385
339,5.633295297622681
340,1.4457347393035889
341,1.5531437397003174
342,1.4434618949890137
343,1.4792890548706055
344,1.4624381065368652
345,1.4562509059906006
346,1.5568351745605469
347,3.4372398853302
348,2.699469804763794
349,5.328430652618408
350,1.466352939605713
351,1.4679439067840576
352,1.486346960067749
353,1.557713270187378
354,1.4763989448547363
355,1.555384874343872
356,1.4465720653533936
357,1.471174955368042
358,2.92631196975708
359,1.4728708267211914
360,2.376415252685547
361,3.4322469234466553
362,1.4616167545318604
363,3.114690065383911
364,1.4687912464141846
365,2.499314308166504
366,1.461899995803833
367,1.4471333026885986
368,1.577146291732788
369,1.5708799362182617
370,1.4747710227966309
371,1.4513061046600342
372,1.463202953338623
373,3.4064083099365234
374,3.0595951080322266
375,1.4473800659179688
376,1.4637110233306885
377,1.5658049583435059
378,1.4422836303710938
379,1.4395158290863037
380,2.3103761672973633
381,1.5512888431549072
382,1.346303939819336
383,1.5524258613586426
384,1.4557580947875977
385,1.4728689193725586
386,3.440896987915039
387,1.4781842231750488
388,1.4694490432739258
389,1.4561829566955566
390,1.543030023574829
391,1.4648966789245605
392,4.478157997131348
393,3.254206418991089
394,1.5561342239379883
395,1.4635908603668213
396,2.298124074935913
397,1.447495937347412
398,1.4694771766662598
399,1.5415589809417725
400,1.4444429874420166
401,1.4503967761993408
402,1.441662073135376
403,1.4601631164550781
404,3.9622061252593994
405,1.9833109378814697
406,3.216852903366089
407,1.4532380104064941
408,1.4481992721557617
409,1.4353971481323242
410,1.4414279460906982
411,3.2045068740844727
412,1.4302690029144287
413,1.7574341297149658
414,3.521515130996704
415,1.7227251529693604
416,1.8153929710388184
417,1.9883198738098145
418,4.389222145080566
419,1.8268756866455078
420,1.6922719478607178
421,1.5749397277832031
422,4.802035093307495
423,3.2345049381256104
424,2.3703160285949707
425,1.4458098411560059
426,1.5696778297424316
427,1.5548839569091797
428,1.5693268775939941
429,2.480004072189331
430,1.5720009803771973
431,1.467061996459961
432,1.4473381042480469
433,1.4395549297332764
434,1.446246862411499
435,1.5417208671569824
436,1.47188401222229
437,1.4384510517120361
438,1.4421720504760742
439,1.4475438594818115
440,5.391741991043091
441,1.4651341438293457
442,1.4728028774261475
443,1.4454658031463623
444,2.502146005630493
445,1.855409860610962
446,1.4622600078582764
447,4.969344854354858
448,3.2218289375305176
449,1.5583810806274414
450,1.4528248310089111
451,1.463479995727539
452,1.761350154876709
453,1.5451571941375732
454,2.1992242336273193
455,1.8622541427612305
456,1.4640121459960938
457,1.4518840312957764
458,3.419390916824341
459,1.439129114151001
460,1.5605278015136719
461,1.449234962463379
462,1.4432098865509033
463,1.437187910079956
464,1.5481290817260742
465,1.471595048904419
466,1.8526980876922607
467,1.553443193435669
468,1.4359447956085205
469,1.4597561359405518
470,1.4671440124511719
471,1.4707577228546143
472,1.5647342205047607
473,1.4720909595489502
474,1.5511739253997803
475,1.4369239807128906
476,1.441316843032837
477,1.5707600116729736
478,1.4529860019683838
479,1.4505491256713867
480,1.7768840789794922
481,1.5455350875854492
482,1.4699060916900635
483,1.4578797817230225
484,1.474255084991455
485,2.8924319744110107
486,1.5650088787078857
487,5.2974021434783936
488,1.4637959003448486
489,3.443243980407715
490,4.988710165023804
491,5.315124988555908
492,1.5430850982666016
493,1.4710979461669922
494,1.450028896331787
495,2.6909899711608887
496,1.4655108451843262
497,1.45843505859375
498,1.4573869705200195
499,1.5506620407104492
500,1.4717822074890137
501,1.4452259540557861
502,2.103170156478882
503,1.5504882335662842
504,1.440891981124878
505,1.4643340110778809
506,1.5536348819732666
507,1.471858024597168
508,1.571084976196289
509,1.4559040069580078
510,1.4497511386871338
511,1.4352912902832031
512,1.4496748447418213
513,1.56532883644104
514,1.4641451835632324
515,1.4390320777893066
516,1.4484388828277588
517,2.694659948348999
518,1.4581036567687988
519,1.5649778842926025
520,1.4483661651611328
521,1.46793794631958
522,1.5490670204162598
523,1.4395451545715332
524,1.4764039516448975
525,1.4767868518829346
526,2.711901903152466
527,1.4632470607757568
528,1.4781649112701416
529,1.5479862689971924
530,1.4671480655670166
531,1.4442577362060547
532,1.473140001296997
533,1.4585371017456055
534,1.5691688060760498
535,1.465487003326416
536,1.4396510124206543
537,1.4450600147247314
538,1.465278148651123
539,1.557107925415039
540,1.4554100036621094
541,1.46647310256958
542,1.446300983428955
543,1.4421970844268799
544,1.5501961708068848
545,1.458786964416504
546,1.479813814163208
547,5.433628082275391
548,1.4507160186767578
549,1.4583449363708496
550,1.4591541290283203
551,1.5585830211639404
552,1.4653823375701904
553,1.4489319324493408
554,1.4564449787139893
555,1.4676198959350586
556,1.580232858657837
557,1.4426391124725342
558,1.4744770526885986
559,1.461364984512329
560,1.4465079307556152
561,1.5581510066986084
562,1.453498125076294
563,1.4729127883911133
564,1.4647281169891357
565,1.4500939846038818
566,1.5688419342041016
567,1.4487082958221436
568,1.4436569213867188
569,1.470231056213379
570,1.4668099880218506
571,1.5548620223999023
572,1.4660968780517578
573,1.449394941329956
574,2.3829293251037598
575,1.5580310821533203
576,1.470181941986084
577,1.471776008605957
578,1.4487359523773193
579,1.552105188369751
580,1.4552099704742432
581,1.451545000076294
582,1.4729089736938477
583,1.4431359767913818
584,3.328388214111328
585,1.456822156906128
586,1.4615590572357178
587,1.448636770248413
588,1.4530072212219238
589,1.5505950450897217
590,1.4721977710723877
591,1.4721949100494385
592,1.449134111404419
593,5.42815899848938
594,1.9685728549957275
595,1.4878063201904297
596,1.678344964981079
597,1.6658518314361572
598,1.454172134399414
599,1.4426748752593994
600,1.4712350368499756
601,1.460968017578125
602,1.5758330821990967
603,1.4688620567321777
604,1.4763200283050537
605,1.4437010288238525
606,1.431838035583496
607,1.550238847732544
608,1.4545161724090576
609,1.4653980731964111
610,1.4675729274749756
611,1.562709093093872
612,1.4487390518188477
613,1.4612529277801514
614,3.3361928462982178
615,1.5467472076416016
616,1.476271152496338
617,1.468731164932251
618,1.4769151210784912
619,1.4425888061523438
620,1.5505468845367432
621,1.4609689712524414
622,1.4393987655639648
623,1.454759120941162
624,1.4645781517028809
625,1.5526909828186035
626,1.4615938663482666
627,1.479884147644043
628,1.460932970046997
629,1.448073148727417
630,1.563293218612671
631,1.4655869007110596
632,5.326562881469727
633,1.446922779083252
634,1.5780160427093506
635,1.9884297847747803
636,1.5829651355743408
637,1.4701037406921387
638,1.4678950309753418
639,1.4791808128356934
640,1.4715180397033691
641,1.5554399490356445
642,1.4568710327148438
643,1.4536287784576416
644,5.463170051574707
645,1.4753639698028564
646,1.47365403175354
647,1.4728398323059082
648,1.5819780826568604
649,2.1897318363189697
650,1.452953815460205
651,1.456221103668213
652,1.4565489292144775
653,1.4432342052459717
654,1.5813391208648682
655,1.456925868988037
656,1.4549586772918701
657,1.4558143615722656
658,1.462049961090088
659,1.5560216903686523
660,1.4558029174804688
661,5.413217067718506
662,1.5821397304534912
663,7.351298809051514
664,5.298619270324707
665,3.3337349891662598
666,5.612998962402344
667,9.493895053863525
668,1.4533839225769043
669,3.554594039916992
670,1.4477181434631348
671,1.4652469158172607
672,9.159302234649658
673,1.60732102394104
674,5.350024938583374
675,1.5744361877441406
676,1.4709281921386719
677,5.337809085845947
678,1.5923869609832764
679,1.4860379695892334
680,1.4873919486999512
681,1.456775188446045
682,1.6879990100860596
683,1.4510881900787354
684,1.4672770500183105
685,3.363800048828125
686,1.578536033630371
687,1.4677619934082031
688,5.373165130615234
689,5.312774896621704
690,5.44059419631958
691,7.091813802719116
692,1.4711790084838867
693,5.140136957168579
694,1.4746270179748535
695,5.438214063644409
696,1.4803709983825684
697,3.4379968643188477
698,4.515897750854492
699,3.411046028137207
700,1.4581778049468994
701,1.4629430770874023
702,3.432425022125244
703,1.475639820098877
704,1.4754040241241455
705,1.57859206199646
706,3.5488271713256836
707,3.4518966674804688
708,3.4311420917510986
709,3.4569108486175537
710,3.3352389335632324
711,3.988367795944214
712,3.335991144180298
713,1.5631318092346191
714,3.337325096130371
715,1.5640251636505127
716,3.430370807647705
717,3.329050302505493
718,1.4476637840270996
719,3.4596550464630127
720,1.4799950122833252
721,1.4644567966461182
722,3.6740989685058594
723,1.4607501029968262
724,3.47552490234375
725,2.9490339756011963
726,1.4669091701507568
727,1.4543402194976807
728,1.5695419311523438
729,1.479891061782837
730,3.480764150619507
731,3.4586780071258545
732,1.474381923675537
733,1.482842206954956
734,3.24281907081604
735,1.4807348251342773
736,1.4547398090362549
737,1.4677722454071045
738,3.468369960784912
739,1.459479808807373
740,1.4905409812927246
741,1.5831520557403564
742,1.4749081134796143
743,1.4613969326019287
744,3.4315521717071533
745,3.4300122261047363
746,1.4550848007202148
747,1.4835877418518066
748,1.4593737125396729
749,1.4793460369110107
750,3.473724842071533
751,3.4670257568359375
752,1.4692738056182861
753,3.4316859245300293
754,1.457101821899414
755,1.4829509258270264
756,1.4570400714874268
757,3.5440120697021484
758,3.3838798999786377
759,3.4597229957580566
760,1.4676692485809326
761,1.5826139450073242
762,1.4890921115875244
763,3.3585190773010254
764,1.49788498878479
765,1.5828361511230469
766,1.462385892868042
767,3.464733839035034
768,1.4645729064941406
769,3.3971760272979736
770,3.3312509059906006
771,3.374894857406616
772,3.478424072265625
773,1.4834580421447754
774,1.4711086750030518
775,1.4676320552825928
776,1.578733205795288
777,1.4608821868896484
778,1.461045265197754
779,1.4794549942016602
780,1.4701850414276123
781,3.554490804672241
782,1.473973035812378
783,1.463569164276123
784,1.4738428592681885
785,1.5760729312896729
786,1.4481887817382812
787,1.5861430168151855
788,3.4678549766540527
789,3.278378963470459
790,1.453117847442627
791,1.9006719589233398
792,1.4671669006347656
793,1.4709792137145996
794,1.4685108661651611
795,1.4730257987976074
796,1.563002109527588
797,1.4756009578704834
798,3.0535011291503906
799,1.5805621147155762
800,1.4730079174041748
801,3.4774081707000732
802,3.4684929847717285
803,3.4656779766082764
804,1.4972450733184814
805,3.403625011444092
806,3.3984742164611816
807,1.7860450744628906
808,2.9431941509246826
809,3.3748416900634766
810,3.4951910972595215
811,1.573632001876831
812,3.278000831604004
813,3.4712188243865967
814,3.3922510147094727
815,1.7834391593933105
816,3.389171838760376
817,3.4737401008605957
818,3.368936777114868
819,3.4892189502716064
820,3.4814629554748535
821,3.2558200359344482
822,3.2328479290008545
823,1.8045649528503418
824,1.4629578590393066
825,1.4697928428649902
826,3.4629881381988525
827,3.3602991104125977
828,3.3656771183013916
829,3.292958974838257
830,2.8699729442596436
831,3.472586154937744
832,3.405190944671631
833,5.462189197540283
834,3.4763567447662354
835,3.4718480110168457
836,5.215998888015747
837,3.4576728343963623
838,3.3512260913848877
839,1.6768910884857178
840,3.4686505794525146
841,3.284050941467285
842,3.4597480297088623
843,1.6807749271392822
844,3.4662892818450928
845,3.4738640785217285
846,3.4839119911193848
847,3.2658162117004395
848,3.4924159049987793
849,1.4642829895019531
850,3.3760931491851807
851,3.602216958999634
852,3.278810977935791
853,1.703106164932251
854,3.5104451179504395
855,1.493898868560791
856,3.2836670875549316
857,3.49709415435791
858,3.614616870880127
859,3.2459678649902344
860,1.4781830310821533
861,1.6938331127166748
862,1.498471975326538
863,1.8109171390533447
864,3.4862048625946045
865,1.4706249237060547
866,1.603079080581665
867,3.388267993927002
868,1.4689557552337646
869,1.5791690349578857
870,3.4586501121520996
871,3.46065092086792
872,1.4678640365600586
873,3.483051061630249
874,3.504202127456665
875,1.708174705505371
876,1.7100427150726318
877,1.4683058261871338
878,3.385000228881836
879,1.688866138458252
880,1.6711199283599854
881,3.4359302520751953
882,3.581434965133667
883,1.730654001235962
884,1.4791967868804932
885,3.501161813735962
886,1.6959168910980225
887,3.1536989212036133
888,5.503637075424194
889,1.458481788635254
890,3.3139610290527344
891,1.5941240787506104
892,1.4913790225982666
893,1.4720818996429443
894,1.4792110919952393
895,3.3968639373779297
896,1.464082956314087
897,3.370875835418701
898,3.2606399059295654
899,1.4853849411010742
900,1.4866909980773926
901,3.3806729316711426
902,3.755854845046997
903,4.079751968383789
904,1.7693331241607666
905,1.7808191776275635
906,3.9285941123962402
907,1.8137962818145752
908,3.283031940460205
909,3.530428886413574
910,3.4944612979888916
911,1.4753429889678955
912,1.4910640716552734
913,5.548346757888794
914,1.4696691036224365
915,1.474118947982788
916,3.565195083618164
917,3.464020013809204
918,3.509039878845215
919,1.4907569885253906
920,5.462018013000488
921,1.4688799381256104
922,1.577591896057129
923,5.416749715805054
924,3.3821780681610107
925,1.4693660736083984
926,3.642976999282837
927,7.388607978820801
928,5.491480112075806
929,5.506976842880249
930,3.514063835144043
931,5.391600131988525
932,3.4999260902404785
933,5.530981063842773
934,5.514520883560181
935,5.3704400062561035
936,5.537275791168213
937,3.360290050506592
938,3.3635308742523193
939,3.394091844558716
940,3.513380765914917
941,3.3911948204040527
942,1.4736757278442383
943,1.4930031299591064
944,5.510082006454468
945,3.3707871437072754
946,7.145068168640137
947,1.4953112602233887
948,1.4887399673461914
949,1.5984752178192139
950,5.4447150230407715
951,3.612377166748047
952,3.3761849403381348
953,1.4757590293884277
954,1.467900037765503
955,1.3602139949798584
956,3.4733970165252686
957,3.493068218231201
958,3.400099992752075
959,3.388974905014038
960,3.3892030715942383
961,1.4922208786010742
962,3.37561297416687
963,5.513236999511719
964,5.293655157089233
965,3.6283679008483887
966,3.2571163177490234
967,3.484936237335205
968,5.498129844665527
969,3.304581880569458
970,1.6121869087219238
971,7.4150471687316895
972,3.422668933868408
973,3.396926164627075
