,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13,0.0,-1.0,3.0,-1.0,-3.0,0.0,-1.0,0.0,2.0,0.0,0.0,3.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,3.0,-1.0
14,2.0,-1.0,2.0,1.0,0.0,0.0,2.0,-3.0,-1.0,0.0,0.0,1.0,-1.0,-2.0,1.0,-1.0,-1.0,0.0,6.0,6.0,-1.0,0.0,1.0,1.0,1.0
15,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-5.0,1.0,1.0,-1.0,-1.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,3.0,0.0,-1.0
16,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-3.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,1.0,3.0,4.0,0.0,-1.0,0.0,0.0,4.0
17,1.0,2.0,-2.0,0.0,-1.0,2.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,-1.0,0.0,1.0
18,3.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,-1.0,1.0,2.0,0.0,-1.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0
19,2.0,0.0,2.0,-1.0,0.0,2.0,0.0,-1.0,7.0,-1.0,0.0,-3.0,0.0,0.0,1.0,0.0,-1.0,2.0,4.0,6.0,2.0,-1.0,-1.0,-2.0,1.0
20,2.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,4.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0
21,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,4.0,0.0,1.0,1.0,-1.0,2.0
22,-3.0,0.0,-1.0,1.0,-3.0,1.0,5.0,1.0,5.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,-2.0,4.0,0.0,4.0,0.0,-1.0,-2.0,-2.0,2.0
23,-2.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0
24,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,-2.0,1.0,-1.0,0.0,-1.0,4.0,7.0,1.0,0.0,-2.0,0.0,0.0
25,5.0,3.0,-1.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,-2.0,-2.0,-5.0,0.0,0.0,0.0,-4.0,1.0,0.0,9.0,0.0,-1.0,0.0,-3.0,0.0
26,2.0,0.0,-2.0,0.0,-1.0,2.0,3.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,8.0,2.0,-2.0,1.0,2.0,2.0
27,3.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,1.0,2.0,4.0,-1.0,0.0,-2.0,1.0,2.0,2.0,2.0
28,2.0,-1.0,0.0,1.0,0.0,0.0,4.0,-1.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,-1.0,4.0,4.0,4.0,0.0,-1.0,2.0,2.0,5.0
