,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,0.0,1.0,0.0,-1.0,-4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0
1,0.0,-1.0,-2.0,3.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,0.0,2.0,2.0,0.0,-1.0,1.0,0.0,2.0,-1.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0
3,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0
4,-2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0
5,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-2.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,-3.0,1.0,2.0,0.0,1.0,0.0
6,1.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
7,-1.0,3.0,2.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,2.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,0.0,1.0,1.0,-3.0,0.0,1.0
8,0.0,1.0,2.0,-1.0,2.0,1.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,0.0
9,-2.0,1.0,1.0,0.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,-2.0,-1.0,-2.0,0.0,1.0,-2.0,3.0,0.0,0.0,0.0,0.0
10,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,2.0,-1.0,-3.0,-2.0,1.0,-1.0,-1.0,0.0
11,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,3.0,-1.0,0.0,0.0,0.0,-3.0,3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
12,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,1.0,-1.0,0.0,2.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,0.0
13,-2.0,1.0,2.0,0.0,1.0,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0
14,2.0,-2.0,0.0,1.0,0.0,-1.0,1.0,1.0,-3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,0.0
